TIME,DEPTH,LATITUDE,LONGITUDE,CHL,station
2009-12-15 06:59:59.999996672,20.0,33.42417,-122.48233,0.6206467845425587,CCE1
2009-12-15 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-16 06:59:59.999996672,20.0,33.42417,-122.48233,0.46609673456799694,CCE1
2009-12-16 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-17 06:59:59.999996672,20.0,33.42417,-122.48233,0.5789226839654481,CCE1
2009-12-17 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-18 06:59:59.999996672,20.0,33.42417,-122.48233,0.6166957212584746,CCE1
2009-12-18 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-19 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-19 06:59:59.999996672,20.0,33.42417,-122.48233,0.5930384640550723,CCE1
2009-12-20 06:59:59.999996672,20.0,33.42417,-122.48233,0.6009959609230539,CCE1
2009-12-20 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-21 06:59:59.999996672,20.0,33.42417,-122.48233,0.501000639010699,CCE1
2009-12-21 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-22 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-22 06:59:59.999996672,20.0,33.42417,-122.48233,0.5225593342765994,CCE1
2009-12-23 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-23 06:59:59.999996672,20.0,33.42417,-122.48233,0.3884003722938792,CCE1
2009-12-24 06:59:59.999996672,20.0,33.42417,-122.48233,0.4356835388604121,CCE1
2009-12-24 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-25 06:59:59.999996672,20.0,33.42417,-122.48233,0.3948052367563361,CCE1
2009-12-25 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-26 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-26 06:59:59.999996672,20.0,33.42417,-122.48233,0.16835089855844404,CCE1
2009-12-27 06:59:59.999996672,20.0,33.42417,-122.48233,0.19532865397343682,CCE1
2009-12-27 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-28 06:59:59.999996672,20.0,33.42417,-122.48233,0.6261013577310706,CCE1
2009-12-28 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-29 06:59:59.999996672,20.0,33.42417,-122.48233,0.5253349442559987,CCE1
2009-12-29 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-30 06:59:59.999996672,20.0,33.42417,-122.48233,0.4333075684917152,CCE1
2009-12-30 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2009-12-31 06:59:59.999996672,20.0,33.42417,-122.48233,0.5343101139275115,CCE1
2009-12-31 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-01 06:59:59.999996672,20.0,33.42417,-122.48233,0.6683625005097473,CCE1
2010-01-01 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-02 06:59:59.999996672,20.0,33.42417,-122.48233,0.6389006373758941,CCE1
2010-01-02 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-03 06:59:59.999996672,20.0,33.42417,-122.48233,0.8141850033533985,CCE1
2010-01-03 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-04 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-04 06:59:59.999996672,20.0,33.42417,-122.48233,0.6303977316258279,CCE1
2010-01-05 06:59:59.999996672,20.0,33.42417,-122.48233,0.6018568945252201,CCE1
2010-01-05 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-06 06:59:59.999996672,20.0,33.42417,-122.48233,0.7141687828808603,CCE1
2010-01-06 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-07 06:59:59.999996672,20.0,33.42417,-122.48233,0.6771459385903678,CCE1
2010-01-07 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-08 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-08 06:59:59.999996672,20.0,33.42417,-122.48233,0.8190163368501483,CCE1
2010-01-09 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-09 06:59:59.999996672,20.0,33.42417,-122.48233,0.8390542682006912,CCE1
2010-01-10 06:59:59.999996672,20.0,33.42417,-122.48233,0.730833969619358,CCE1
2010-01-10 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-11 06:59:59.999996672,20.0,33.42417,-122.48233,0.6719635310518923,CCE1
2010-01-11 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-12 06:59:59.999996672,20.0,33.42417,-122.48233,0.6058962378990714,CCE1
2010-01-12 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-13 06:59:59.999996672,20.0,33.42417,-122.48233,0.42699254606870707,CCE1
2010-01-13 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-14 06:59:59.999996672,20.0,33.42417,-122.48233,0.4825006893042192,CCE1
2010-01-14 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-15 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-15 06:59:59.999996672,20.0,33.42417,-122.48233,0.8168869477222671,CCE1
2010-01-16 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-16 06:59:59.999996672,20.0,33.42417,-122.48233,0.7202330225816833,CCE1
2010-01-17 06:59:59.999996672,20.0,33.42417,-122.48233,0.7117405661117087,CCE1
2010-01-17 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-17 08:00:00.000003328,15.0,34.32433,-120.81517,1.5906804499999998,CCE2
2010-01-18 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-18 06:59:59.999996672,20.0,33.42417,-122.48233,0.7227824292305568,CCE1
2010-01-18 08:00:00.000003328,15.0,34.32433,-120.81517,1.7686759699999999,CCE2
2010-01-19 06:59:59.999996672,20.0,33.42417,-122.48233,0.6215019547136739,CCE1
2010-01-19 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-19 08:00:00.000003328,15.0,34.32433,-120.81517,1.1309359449999998,CCE2
2010-01-20 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-20 06:59:59.999996672,20.0,33.42417,-122.48233,0.5112254119650966,CCE1
2010-01-20 08:00:00.000003328,15.0,34.32433,-120.81517,0.6010439,CCE2
2010-01-21 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-21 06:59:59.999996672,20.0,33.42417,-122.48233,0.4932228262216158,CCE1
2010-01-21 08:00:00.000003328,15.0,34.32433,-120.81517,0.75957116,CCE2
2010-01-22 06:59:59.999996672,20.0,33.42417,-122.48233,0.4813889729798683,CCE1
2010-01-22 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-22 08:00:00.000003328,15.0,34.32433,-120.81517,0.6470106250000001,CCE2
2010-01-23 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-23 06:59:59.999996672,20.0,33.42417,-122.48233,0.46158717359004797,CCE1
2010-01-23 08:00:00.000003328,15.0,34.32433,-120.81517,0.7978896400000002,CCE2
2010-01-24 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-24 06:59:59.999996672,20.0,33.42417,-122.48233,0.5379147890189108,CCE1
2010-01-24 08:00:00.000003328,15.0,34.32433,-120.81517,0.77965746,CCE2
2010-01-25 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
2010-01-25 06:59:59.999996672,20.0,33.42417,-122.48233,0.5533261709931532,CCE1
2010-01-25 08:00:00.000003328,15.0,34.32433,-120.81517,0.9399615850000002,CCE2
2010-01-26 06:59:59.999996672,20.0,33.42417,-122.48233,0.6687224255996608,CCE1
2010-01-26 06:59:59.999996672,40.0,33.42417,-122.48233,,CCE1
