date,station,ph
2009-12-15,CCE1,8.089269565217391
2009-12-16,CCE1,8.088766666666666
2009-12-17,CCE1,8.090029166666666
2009-12-18,CCE1,8.090375
2009-12-19,CCE1,8.087470833333333
2009-12-20,CCE1,8.088408333333334
2009-12-21,CCE1,8.0879625
2009-12-22,CCE1,8.096025
2009-12-23,CCE1,8.103775
2009-12-24,CCE1,8.106179166666667
2009-12-25,CCE1,8.1048875
2009-12-26,CCE1,8.103045833333333
2009-12-27,CCE1,8.106445833333334
2009-12-28,CCE1,8.096058333333334
2009-12-29,CCE1,8.0906875
2009-12-30,CCE1,8.093416666666668
2009-12-31,CCE1,8.102070833333334
2010-01-01,CCE1,8.098579166666667
2010-01-02,CCE1,8.103775
2010-01-03,CCE1,8.097875
2010-01-04,CCE1,8.100658333333334
2010-01-05,CCE1,8.096275
2010-01-06,CCE1,8.097279166666667
2010-01-07,CCE1,8.092341666666668
2010-01-08,CCE1,8.095716666666666
2010-01-09,CCE1,8.103233333333334
2010-01-10,CCE1,8.1017125
2010-01-11,CCE1,8.096716666666667
2010-01-12,CCE1,8.095566666666667
2010-01-13,CCE1,8.096425
2010-01-14,CCE1,8.090425
2010-01-15,CCE1,8.086054166666667
2010-01-16,CCE1,8.084016666666667
2010-01-17,CCE1,8.0853125
2010-01-18,CCE1,8.086075
2010-01-19,CCE1,8.0972625
2010-01-20,CCE1,8.103154166666668
2010-01-21,CCE1,8.106820833333334
2010-01-22,CCE1,8.109520833333333
2010-01-23,CCE1,8.1110875
2010-01-24,CCE1,8.114070833333333
2010-01-25,CCE1,8.109633333333333
2010-01-26,CCE1,8.107733333333334
2010-01-27,CCE1,8.105783333333333
2010-01-28,CCE1,8.109683333333333
2010-01-29,CCE1,8.105733333333333
2010-01-30,CCE1,8.101216666666668
2010-01-31,CCE1,8.097825
2010-02-01,CCE1,8.0870125
2010-02-02,CCE1,8.090858333333333
2010-02-03,CCE1,8.096554166666666
2010-02-04,CCE1,8.093304166666668
2010-02-05,CCE1,8.085487500000001
2010-02-06,CCE1,8.0872625
2010-02-07,CCE1,8.090883333333332
2010-02-08,CCE1,8.101779166666667
2010-02-09,CCE1,8.090808333333333
2010-02-10,CCE1,8.094441666666667
2010-02-11,CCE1,8.101750000000001
2010-02-12,CCE1,8.100837499999999
2010-02-13,CCE1,8.101270833333333
2010-02-14,CCE1,8.1026875
2010-02-15,CCE1,8.108975
2010-02-16,CCE1,8.114741666666667
2010-02-17,CCE1,8.115691666666667
2010-02-18,CCE1,8.109704166666667
2010-02-19,CCE1,8.1067875
2010-02-20,CCE1,8.107145833333334
2010-02-21,CCE1,8.10705
2010-02-22,CCE1,8.109612499999999
2010-02-23,CCE1,8.110716666666667
2010-02-24,CCE1,8.114783333333333
2010-02-25,CCE1,8.1106875
2010-02-26,CCE1,8.113674999999999
2010-02-27,CCE1,8.1156125
2010-02-28,CCE1,8.119629166666668
2010-03-01,CCE1,8.120587500000001
2010-03-02,CCE1,8.120983333333333
2010-03-03,CCE1,8.119529166666666
2010-03-04,CCE1,8.113658333333333
2010-03-05,CCE1,8.117204166666667
2010-03-06,CCE1,8.122033333333333
2010-03-07,CCE1,8.117079166666667
2010-03-08,CCE1,8.122470833333333
2010-03-09,CCE1,8.127116666666668
2010-03-10,CCE1,8.124833333333333
2010-03-11,CCE1,8.127620833333333
2010-03-12,CCE1,8.126125
2010-03-13,CCE1,8.134470833333333
2010-03-14,CCE1,8.127954166666667
2010-03-15,CCE1,8.118591666666667
2010-03-16,CCE1,8.13295
2010-03-17,CCE1,8.1278875
2010-03-18,CCE1,8.119945833333334
2010-03-19,CCE1,8.117329166666666
2010-03-20,CCE1,8.115979166666667
2010-03-21,CCE1,8.122475
2010-03-22,CCE1,8.118533333333334
2010-03-23,CCE1,8.114183333333333
2010-03-24,CCE1,8.1153
2010-03-25,CCE1,8.121416666666667
2010-03-26,CCE1,8.117995833333334
2010-03-27,CCE1,8.114616666666667
2010-03-28,CCE1,8.114620833333333
2010-03-29,CCE1,8.113441666666667
2010-03-30,CCE1,8.121841666666667
2010-03-31,CCE1,8.1183375
2010-04-01,CCE1,8.120208333333332
2010-04-02,CCE1,8.119425
2010-04-03,CCE1,8.116545833333333
2010-04-04,CCE1,8.116308333333334
2010-04-05,CCE1,8.126583333333334
2010-04-06,CCE1,8.124575
2010-04-07,CCE1,8.121233333333334
2010-04-08,CCE1,8.120099999999999
2010-04-09,CCE1,8.118529166666667
2010-04-10,CCE1,8.119495833333334
2010-04-11,CCE1,8.116737500000001
2010-04-12,CCE1,8.120754166666666
2010-04-13,CCE1,8.120516666666667
2010-04-14,CCE1,8.120029166666667
2010-04-15,CCE1,8.122166666666667
2010-04-16,CCE1,8.123245833333334
2010-04-17,CCE1,8.126375
2010-04-18,CCE1,8.127020833333333
2010-04-19,CCE1,8.121029166666666
2010-04-20,CCE1,8.124554166666666
2010-04-21,CCE1,8.118270833333334
2010-04-22,CCE1,8.115420833333333
2010-04-23,CCE1,8.1169625
2010-04-24,CCE1,8.114358333333334
2010-04-25,CCE1,8.1193125
2010-04-26,CCE1,8.124579166666667
2010-04-27,CCE1,8.126704166666666
2010-04-28,CCE1,8.115966666666667
2010-04-29,CCE1,8.097054166666666
2010-04-30,CCE1,8.101470833333334
2010-05-01,CCE1,8.104025
2010-05-02,CCE1,8.109633333333333
2010-05-03,CCE1,8.114083333333333
2010-05-04,CCE1,8.088895833333334
2010-05-05,CCE1,8.078579166666666
2010-05-06,CCE1,8.077729166666666
2010-05-07,CCE1,8.077079166666666
2010-05-08,CCE1,8.078725
2010-05-09,CCE1,8.074745833333333
2010-05-10,CCE1,8.069458333333333
2010-05-11,CCE1,8.0721875
2010-05-12,CCE1,8.073595833333334
2010-05-13,CCE1,8.073754166666667
2010-05-14,CCE1,8.071441666666667
2010-05-15,CCE1,8.070066666666667
2010-05-16,CCE1,8.070716666666668
2010-05-17,CCE1,8.073275
2010-05-18,CCE1,8.074287499999999
2010-05-19,CCE1,8.075929166666667
2010-05-20,CCE1,8.082554166666666
2010-05-21,CCE1,8.078283333333333
2010-05-22,CCE1,8.081091666666667
2010-05-23,CCE1,8.081291666666667
2010-05-24,CCE1,8.087225
2010-05-25,CCE1,8.080175
2010-05-26,CCE1,8.084391666666667
2010-05-27,CCE1,8.080333333333334
2010-05-28,CCE1,8.079525
2010-05-29,CCE1,8.078158333333333
2010-05-30,CCE1,8.076541666666666
2010-05-31,CCE1,8.0869
2010-06-01,CCE1,8.085204166666667
2010-06-02,CCE1,8.0772625
2010-06-03,CCE1,8.079241666666666
2010-06-04,CCE1,8.076841666666667
2010-06-05,CCE1,8.0731875
2010-06-06,CCE1,8.084220833333333
2010-06-07,CCE1,8.076016666666666
2010-06-08,CCE1,8.062241666666667
2010-06-09,CCE1,8.0582625
2010-06-10,CCE1,8.051966666666667
2010-06-11,CCE1,8.047883333333333
2010-06-12,CCE1,8.042004166666667
2010-06-13,CCE1,8.045595833333334
2010-06-14,CCE1,8.045366666666666
2010-06-15,CCE1,8.046325000000001
2010-06-16,CCE1,8.051633333333333
2010-06-17,CCE1,8.0478875
2010-06-18,CCE1,8.0319625
2010-06-19,CCE1,8.019683333333333
2010-06-20,CCE1,8.0186375
2010-06-21,CCE1,8.044804166666667
2010-06-22,CCE1,8.034308333333334
2010-06-23,CCE1,8.032937500000001
2010-06-24,CCE1,8.029979166666665
2010-06-25,CCE1,8.028483333333334
2010-06-26,CCE1,8.021008333333333
2010-06-27,CCE1,8.0261125
2010-06-28,CCE1,8.015491666666668
2010-06-29,CCE1,8.020829166666667
2010-06-30,CCE1,8.025741666666667
2010-07-01,CCE1,8.022708333333332
2010-07-02,CCE1,8.0196375
2010-07-03,CCE1,8.015420833333334
2010-07-04,CCE1,8.0123375
2010-07-05,CCE1,8.012733333333333
2010-07-06,CCE1,8.014245833333334
2010-07-07,CCE1,8.018429166666666
2010-07-08,CCE1,8.017574999999999
2010-07-09,CCE1,8.009441666666666
2010-07-10,CCE1,8.015775
2010-07-11,CCE1,8.0118875
2010-07-12,CCE1,8.012758333333332
2010-07-13,CCE1,8.010545833333333
2010-07-14,CCE1,8.0034625
2010-07-15,CCE1,7.999408333333334
2010-07-16,CCE1,7.9914375
2010-07-17,CCE1,8.004358333333334
2010-07-18,CCE1,8.001745833333333
2010-07-19,CCE1,8.009733333333333
2010-07-20,CCE1,8.000774999999999
2010-07-21,CCE1,8.0138
2010-07-22,CCE1,8.0068625
2010-07-23,CCE1,8.003220833333334
2010-07-24,CCE1,7.977891666666667
2010-07-25,CCE1,7.963349999999999
2010-07-26,CCE1,7.963674999999999
2010-07-27,CCE1,7.964179166666667
2010-07-28,CCE1,7.955208333333334
2010-07-29,CCE1,7.955608333333333
2010-07-30,CCE1,7.975254166666667
2010-07-31,CCE1,7.9721
2010-08-01,CCE1,7.992445833333334
2010-08-02,CCE1,8.013
2010-08-03,CCE1,8.006583333333333
2010-08-04,CCE1,8.006829166666668
2010-08-05,CCE1,8.017770833333334
2010-08-06,CCE1,8.029200000000001
2010-08-07,CCE1,8.002029166666667
2010-08-08,CCE1,8.003454166666666
2010-08-09,CCE1,7.999958333333333
2010-08-10,CCE1,8.005904166666665
2010-08-11,CCE1,7.996078260869565
2010-08-12,CCE1,
2010-08-13,CCE1,
