date,scientific_name,larvae_count,larvae_10m2,latitude,longitude
1951-01-10,Engraulis mordax,85.0,31.98333333333333,28.479999666666668,-115.75944399999999
1951-01-11,Engraulis mordax,3.0,4.89,27.466666,-117.63
1951-01-12,Engraulis mordax,3.0,4.41,29.2,-115.65
1951-01-13,Engraulis mordax,93.0,146.01,31.671666,-116.775
1951-01-14,Engraulis mordax,1.0,1.93,31.36,-117.481666
1951-01-18,Engraulis mordax,31.0,12.958000000000002,31.562666200000002,-118.88966640000001
1951-01-19,Engraulis mordax,392.0,88.8825,30.4606245,-116.746458
1951-01-19,Sardinops sagax,47.0,41.015,27.661666,-114.905833
1951-01-20,Engraulis mordax,21.0,17.85,29.8641665,-117.4191665
1951-01-21,Engraulis mordax,89.0,81.115,26.233333000000002,-113.970833
1951-01-22,Engraulis mordax,8.0,13.68,33.566666,-120.75
1951-01-23,Engraulis mordax,100.0,35.864,28.483999599999997,-115.55866619999999
1951-01-24,Engraulis mordax,5.0,3.1966666666666668,28.188333,-116.74055533333335
1951-02-07,Engraulis mordax,1.0,1.9,31.675,-116.775
1951-02-08,Engraulis mordax,129.0,81.28,28.427777333333335,-115.71666633333332
1951-02-08,Sardinops sagax,5.0,9.95,28.133333,-116.283333
1951-02-09,Engraulis mordax,3.0,2.585,30.308333,-117.23750000000001
1951-02-12,Sardinops sagax,1.0,1.93,31.35,-117.45
1951-02-13,Engraulis mordax,49.0,49.955,27.3749995,-116.158333
1951-02-14,Engraulis mordax,77.0,134.75,28.05,-114.9
1951-02-14,Sardinops sagax,32.0,56.0,28.05,-114.9
1951-02-17,Engraulis mordax,1.0,1.75,32.5,-118.208333
1951-02-17,Sardinops sagax,4.0,7.0,32.5,-118.208333
1951-02-18,Engraulis mordax,524.0,139.44285714285715,30.66071385714286,-117.088095
1951-02-18,Sardinops sagax,128.0,113.415,27.133333,-115.1874995
1951-02-19,Engraulis mordax,73.0,31.127499999999998,29.61041625,-117.12916625
1951-02-20,Engraulis mordax,135.0,122.34,26.2499995,-113.9999995
1951-02-20,Sardinops sagax,1.0,1.82,26.333333,-113.833333
1951-02-22,Engraulis mordax,312.0,130.19,25.46041625,-113.57083324999999
1951-02-23,Engraulis mordax,244.0,199.105,24.833333,-113.70833300000001
1951-02-23,Sardinops sagax,1.0,1.63,25.0,-113.391666
1951-02-25,Engraulis mordax,2.0,14.4,34.316666,-120.8
1951-03-08,Engraulis mordax,40.0,64.8,31.675,-116.775
1951-03-08,Sardinops sagax,1.0,1.62,31.675,-116.775
1951-03-10,Engraulis mordax,3.0,3.9,29.7749995,-117.5341665
1951-03-11,Engraulis mordax,83.0,70.89,28.406666666666666,-115.7
1951-03-11,Sardinops sagax,2.0,2.31,25.5941665,-113.7541665
1951-03-12,Engraulis mordax,191.0,100.51199999999999,26.8019996,-116.46666640000001
1951-03-12,Sardinops sagax,2.0,3.54,30.1416665,-117.5666665
1951-03-13,Engraulis mordax,4.0,9.5,29.4775,-115.8299995
1951-03-13,Sardinops sagax,2.0,10.96,29.17,-115.651666
1951-03-14,Engraulis mordax,59.0,36.440000000000005,28.657777666666664,-116.17722199999999
1951-03-14,Sardinops sagax,1.0,1.8,32.5,-118.208333
1951-03-15,Engraulis mordax,2.0,3.16,23.9,-111.08
1951-03-16,Engraulis mordax,1.0,1.66,24.216666,-111.936666
1951-03-17,Engraulis mordax,90.0,121.2,27.354999499999998,-116.2016665
1951-03-17,Sardinops sagax,41.0,106.6,27.518333,-115.873333
1951-03-18,Engraulis mordax,918.0,284.855,29.33499975,-116.143958
1951-03-18,Sardinops sagax,124.0,137.596,29.3509998,-115.96199959999998
1951-03-19,Engraulis mordax,217.0,73.80999999999999,25.378055333333332,-114.63055533333333
1951-03-19,Sardinops sagax,6.0,15.66,26.403333,-115.116666
1951-03-20,Engraulis mordax,1330.0,825.258,25.8456664,-113.81299980000001
1951-03-20,Sardinops sagax,18.0,21.99,26.1066665,-113.405
1951-04-03,Engraulis mordax,19.0,33.44,28.636666,-115.261666
1951-04-04,Engraulis mordax,153.0,90.91333333333334,28.116110666666668,-116.22444433333334
1951-04-04,Sardinops sagax,40.0,42.76,28.1174995,-116.215
1951-04-05,Engraulis mordax,2.0,2.125,28.577499500000002,-116.883333
1951-04-05,Sardinops sagax,153.0,142.24499999999998,28.948332999999998,-116.194166
1951-04-07,Engraulis mordax,100.0,38.49,28.692999800000003,-119.41133319999999
1951-04-07,Sardinops sagax,9.0,6.003333333333333,29.282777666666664,-119.05666666666666
1951-04-08,Engraulis mordax,16.0,9.125,31.7066665,-119.08624975000001
1951-04-08,Sardinops sagax,4.0,3.915,30.265,-118.08416650000001
1951-04-09,Engraulis mordax,65.0,24.278,28.9999998,-117.85899979999999
1951-04-09,Sardinops sagax,20.0,10.89,30.729444333333333,-117.65444433333334
1951-04-10,Engraulis mordax,203.0,106.25,27.64708275,-115.73624975
1951-04-10,Sardinops sagax,47.0,29.52333333333333,29.041666000000003,-117.00166633333333
1951-04-11,Engraulis mordax,187.0,69.30199999999999,27.711666400000002,-116.1676664
1951-04-11,Sardinops sagax,55.0,24.2925,28.0404165,-116.43374975
1951-04-12,Engraulis mordax,209.0,53.77571428571429,28.758095,-115.60428542857143
1951-04-12,Sardinops sagax,540.0,223.67749999999998,27.774583,-115.00958299999999
1951-04-13,Engraulis mordax,16.0,18.96,28.4999995,-116.4249995
1951-04-13,Sardinops sagax,18.0,66.96,31.016666,-118.133333
1951-04-14,Engraulis mordax,47.0,19.818333333333335,30.124166333333335,-118.50555533333333
1951-04-15,Engraulis mordax,173.0,74.245,31.47666625,-118.03124975
1951-04-15,Sardinops sagax,31.0,25.25,29.453333,-116.745833
1951-04-16,Engraulis mordax,18.0,37.11,28.573332999999998,-117.7975
1951-04-16,Sardinops sagax,49.0,28.8,29.851666333333338,-118.512222
1951-04-17,Engraulis mordax,54.0,26.236666666666665,30.547222,-116.58888833333333
1951-04-17,Sardinops sagax,26.0,63.96,32.63,-119.458333
1951-05-01,Engraulis mordax,9.0,12.96,28.626666,-115.266666
1951-05-02,Engraulis mordax,16.0,5.318,28.0283332,-116.8679998
1951-05-02,Sardinops sagax,15.0,11.89,27.956666499999997,-117.430833
1951-05-03,Engraulis mordax,60.0,41.27,29.370555,-116.26388866666666
1951-05-03,Sardinops sagax,2.0,3.76,28.316666,-117.331666
1951-05-04,Engraulis mordax,19.0,13.33,29.2416665,-117.683333
1951-05-04,Sardinops sagax,1.0,1.3,29.625,-115.991666
1951-05-05,Engraulis mordax,3.0,6.33,30.1,-118.425
1951-05-05,Sardinops sagax,46.0,43.405,30.1716665,-116.7299995
1951-05-06,Engraulis mordax,2.0,2.23,30.720833,-117.92916650000001
1951-05-06,Sardinops sagax,13.0,26.39,30.925,-116.75
1951-05-07,Engraulis mordax,1.0,4.52,32.166666,-118.891666
